despatchdate,transportroutecode,registrationnumbershunt,registrationnumberdriver,shuntdrivercode1,shuntdrivercode2,drivercode1,drivercode2,shuntdriverswaplocation,driverswaplocation,registrationnumbershunt2,shuntdrivercode3,shuntdrivercode4
30/04/2026,20,,HN23AUO,,,CW,,,,,,
30/04/2026,OLDCUST,,,,,,,,,,,
30/04/2026,FFAH,,,,,,,,,,,
30/04/2026,STAFF,,,,,,,,,,,
30/04/2026,COURIER,,,,,,,,,,,
30/04/2026,L1,,,,,,,,,,,
30/04/2026,SC,,,,,,,,,,,
30/04/2026,PRINCE,,,,,,,,,,,
30/04/2026,BRAY/LON,,HX73WEU,,,PZ,,,,,,
30/04/2026,A303/LON,,WP25KFT,,,CS,,,,,,
30/04/2026,M4\CAM,,HX24UMW,,,KD,,,,,,
30/04/2026,R4,,WP25KNF,,,RH,,,,,,
30/04/2026,HAMP\303,,WP25KFJ,,,KP,GHP,,,,,
30/04/2026,M5/WALES,,HN23XKU,,,FD,IH,,,,,
30/04/2026,R2,,WP25KFT,,,CS,,,,,,
30/04/2026,R3,,HT23FOF,,,GG1,,,,,,
30/04/2026,R1,,HK23ELO,,,JR,,,,,,
30/04/2026,R10,,HK73FFJ,,,MB2,,,,,SP,
30/04/2026,L2,,WP25KAA,,,PJ,,,,,,
30/04/2026,M5/MAN,HX23WBN,HX23WBN,MS,,MC,,,,WX23UHK,MS,
30/04/2026,13,HX23WBN,HX23WDJ,MS,,CF,,,,WX23UHK,MS,
30/04/2026,14,,WP25KRG,,,PK,DB1,,,,,
30/04/2026,DORSET,,WP25KFR,,,GT,,,,,,
30/04/2026,SOMER16,,HX24UMU,,,AS,,,,,,
30/04/2026,17,,WP25KRF,,,MB,,,,,,
30/04/2026,RUSH,,,,,,,,,,,
30/04/2026,R19,,,,,,,,,,,
30/04/2026,24,,HX73WEO,,,PE,RB,,,,,
30/04/2026,23,,HX73WEO,,,PE,RB,,,,,
30/04/2026,22,,,,,,,,,,,
30/04/2026,21,HX23WBN,HN23XML,MS,,LC,MD,,,WX23UHK,MS,
